fosdem_tag, type
janson_cam, 4
janson_tripod, 3
k1105_cam, 4
k1105_tripod, 3
h2215_cam, 4
h2215_tripod, 3
h2215_hand_mic, 2
h2215_tiepin_mic, 5
k3201_cam, 4
k3201_tripod, 3
k3201_tiepin_mic, 5
k3401_cam, 4
k3401_tripod, 3
k3401_tiepin_mic, 5
k4201_cam, 4
k4201_tripod, 3
k4201_tiepin_mic, 5
k4401_cam, 4
k4401_tripod, 3
k4401_tiepin_mic, 5
k4601_cam, 4
k4601_tripod, 3
k4601_tiepin_mic, 5
h1301_cam, 4
h1301_tripod, 3
h1301_tiepin_mic, 5
h1301_hand_mic, 2
h1302_cam, 4
h1302_tripod, 3
h1302_tiepin_mic, 5
h1302_hand_mic, 2
h1308_cam, 4
h1308_tripod, 3
h1308_tiepin_mic, 5
h1308_hand_mic, 2
h1309_cam, 4
h1309_tripod, 3
h1309_tiepin_mic, 5
h1309_hand_mic, 2
h2213_cam, 4
h2213_tripod, 3
h2213_tiepin_mic, 5
h2214_cam, 4
h2214_tripod, 3
h2214_tiepin_mic, 5
ua2114_cam, 4
ua2114_tripod, 3
ua2114_tiepin_mic, 5
ua2114_hand_mic, 2
ua2118spare_cam, 4
ua2118spare_tripod, 3
ua2118spare_tiepin_mic, 5
ua2118spare_hand_mic, 2
ua2220_cam, 4
ua2220_tripod, 3
ua2220_tiepin_mic, 5
ua2220_hand_mic, 2
ua2220_hand_mic_2_sat, 2
ub2147_cam, 4
ub2147_tripod, 3
ub2147_tiepin_mic, 5
ub2252a_cam, 4
ub2252a_tripod, 3
ub2252a_tiepin_mic, 5
ub2252a_hand_mic, 2
ud2119_cam, 4
ud2119_tripod, 3
ud2119_tiepin_mic, 5
ud2120_cam, 4
ud2120_tripod, 3
ud2120_tiepin_mic, 5
ud2120_hand_mic, 2
ud2208_cam, 4
ud2208_tripod, 3
ud2208_tiepin_mic, 5
ud2208_hand_mic, 2
ud2218a_cam, 4
ud2218a_tripod, 3
ud2218a_tiepin_mic, 5
ud2218a_hand_mic, 2
aw1120_cam, 4
aw1120_tripod, 3
aw1120_tiepin_mic, 5
aw1121_cam, 4
aw1121_tripod, 3
aw1121_tiepin_mic, 5
aw1125_cam, 4
aw1125_tripod, 3
aw1125_tiepin_mic, 5
aw1126_cam, 4
aw1126_tripod, 3
aw1126_tiepin_mic, 5
ub4136_cam, 4
ub4136_tripod, 3
ub4136_tiepin_mic, 5
ub5132_sun_cam, 4
ub5132_sun_tripod, 3
ub5132_sun_tiepin_mic, 5
ub5132_sun_hand_mic, 2
ub5230_sun_cam, 4
ub5230_sun_tripod, 3
ub5230_sun_tiepin_mic, 5
ub5230_sun_hand_mic, 2
